"X","X.1","out$p.value"
"P07195_LDHB","P07195_LDHB",1.52196158225576e-08
"P28325_CST5","P28325_CST5",4.5059765205873e-06
"P01036_CST4","P01036_CST4",0.000165713946236107
"P01037_CST1","P01037_CST1",0.000218444785002621
"P02760_AMBP","P02760_AMBP",0.00203655201013957
"CON__P19013","CON__P19013",0.00237208572889364
"P18206_VCL","P18206_VCL",0.00411509955684149
"A0A024R6X1_CES2","A0A024R6X1_CES2",0.0064724369148966
"P09228_CST2","P09228_CST2",0.00693073267587369
"P05386_RPLP1","P05386_RPLP1",0.00967484741639321
"P04438","P04438",0.0110239567790301
"A0A087WVW2_IGHG3","A0A087WVW2_IGHG3",0.0377437968414255
"B7ZKJ8_ITIH4","B7ZKJ8_ITIH4",0.0451288298801057
"P00450_CP","P00450_CP",0.110043673942298
"P32119_PRDX2","P32119_PRDX2",0.110333674093672
"Q9NQ38-3_SPINK5","Q9NQ38-3_SPINK5",0.1356251763289
"Q14697-2_GANAB","Q14697-2_GANAB",0.154057834332178
"Q8TD19_NEK9","Q8TD19_NEK9",0.225366309243
"P12429_ANXA3","P12429_ANXA3",0.24570662439727
"Q99879_HIST1H2BM","Q99879_HIST1H2BM",0.341436008686448
"B7Z6Z4_MYL6","B7Z6Z4_MYL6",0.349192184510635
"P00330_ADH1","P00330_ADH1",0.382567828595412
"B4E1Z4_CFB","B4E1Z4_CFB",0.415761610771241
"CON__P02769_ALB","CON__P02769_ALB",0.474302451618929
"Q02487_DSC2","Q02487_DSC2",0.487099210540894
"P00489_PYGM","P00489_PYGM",0.493632584215207
"P21333_FLNA","P21333_FLNA",0.509257572546383
"P00924_ENO1","P00924_ENO1",0.555829091124962
"P12814-3_ACTN1","P12814-3_ACTN1",0.560017126965418
"P01023_A2M","P01023_A2M",0.566055161808522
"O43707_ACTN4","O43707_ACTN4",0.653846715821032
"P00738_HP","P00738_HP",0.663421731846325
"P35579_MYH9","P35579_MYH9",0.669840260784746
"CON__P00761","CON__P00761",0.677820558141887
"P02787_TF","P02787_TF",0.714561028033829
"P02790_HPX","P02790_HPX",0.74641272953168
"P01024_C3","P01024_C3",0.757517016788083
"A0A087WV47_IGHG1","A0A087WV47_IGHG1",0.761188541193861
"P01859_IGHG2","P01859_IGHG2",0.775234485653775
"P02675_FGB","P02675_FGB",0.833413757132845
"D6RF35_GC","D6RF35_GC",0.837249345173923
"P08238_HSP90AB1","P08238_HSP90AB1",0.838757394542116
"P06870_KLK1","P06870_KLK1",0.855266913547082
"P12273_PIP","P12273_PIP",0.875283308509325
"P04792_HSPB1","P04792_HSPB1",0.884095159659192
"P0C0L5_C4B","P0C0L5_C4B",0.886294391900582
"P18510-2_IL1RN","P18510-2_IL1RN",0.89290437471511
"P52209_PGD","P52209_PGD",0.896543696234431
"P30740_SERPINB1","P30740_SERPINB1",0.922844687959851
"P31025_LCN1","P31025_LCN1",0.954297840680555
"P19961_AMY2B","P19961_AMY2B",0.970916292838652
"P07339_CTSD","P07339_CTSD",0.972392306166918
